LIST AKL PRODUCT ;;;;AKL EXPIRED;;;;
;;;;;;;;
Kode;Nama product;Kelompok;AKL NO;Expired AKL;Lampiran;Category;Vendor;Keterangan
3A.C322;Cylinder/ Piston Assy - HOSPYNEB;Sparepart;-;;;Sparepart;3A;
3A.NEB1000;TECHNOJET Nebulizer ;Aksesoris;-;;;Aksesoris;3A;
3A.NEB101;FASTERJET Nebulizer;Aksesoris;AKL 20403411988;31/12/25;;Aksesoris;3A;
3A.NEB201;NEBJET Nebulizer w/ L Connector;Aksesoris;AKL 20403411988;31/12/25;v;Aksesoris;3A;
3A.NEB3001;QUICKJET Nebulizer w/ L Connector;Aksesoris;-;;;Aksesoris;3A;
3RAY.3303;3RAY ECG 3-Chn Model 3303;;-;;;;3RAY;
ABP.FS-D;Face Shield (Lokal);;-;;;;ABP;
ABP.HAZ-PM;Hazmat Polymicro;;-;;;;ABP;
ABP.HZPE80;Hazmat Polyethylene 85gsm Lokal;;AKD 21603021797;09/09/25;;;ABP;
ABP.HZSB75;Hazmat Spunbond 75gsm Lokal;;-;;;;ABP;
AKY.HG95;Aukeys HG KN95 Mask 10s;;FR.03.02/VA/5646/2020;;;;AKY;
ALD.8000;HEMOFAST Hb Meter;;-;;;Unit;ALD;
AMI.ASW100;NUBION Alcohol Swab 100's;;-;;;;AMI;
AVC.A70B100;Alcohol 70% Botol 100ml;;PKD 20501021938;04/07/25;;;AVC;
AVC.A70J1000;Alcohol 70% Jerigen 1000ml;;PKD 20501021938;04/07/25;;;AVC;
AVC.A70J1000WL;Alcohol 70% Jerigen 1000ml WL;;PKD 20501021938;04/07/25;;;AVC;
AVC.A96B100;Alcohol 96% Botol 100ml;;PKD 20501021972;;;;AVC;
AVC.A96J1000;Alcohol 96% Jerigen 1000ml;;PKD 20501021972;;;;AVC;
AVC.DFBJ1000;Disinfectant BKC(5%) PROSHIELD Jerigen 1000ml;;PKD 20502024068;;;;AVC;
AVC.DFBJ5000;Disinfectant BKC(5%) PROSHIELD Jerigen 5000ml;;PKD 20502024068;;;;AVC;
AVC.DFHJ1000;Disinfectant H2O2(3%) PROSHIELD Jerigen 1000ml;;PKD 20501022823;19/08/25;;;AVC;
AVC.DFHJ5000;Disinfectant H2O2(3%) PROSHIELD Jerigen 5000ml;;PKD 20501022823;19/08/25;;;AVC;
AVC.DFSJ1000;Disinfectant Sodium Hypo(0.5%) PROSHIELD Jerigen 1000ml;;PKD 20502120888;28/04/26;;;AVC;
AVC.DFSJ5000;Disinfectant Sodium Hypo(0.5%) PROSHIELD Jerigen 5000ml;;PKD 20502120888;28/04/26;;;AVC;
AVC.HPJ1000;Handsoap Jerigen 1000ml;;PKD 20309022422;15/07/21;;;AVC;
AVC.HPJ1000B;Handsoap Jerigen 1000ml (Black Rose);;PKD 20309022422;15/07/21;;;AVC;
AVC.HPP500;Handsoap Pump 500ml;;PKD 20309022422;15/07/21;;;AVC;
AVC.HPP500B;Handsoap Pump 500ml - Black Rose;;PKD 20309022422;15/07/21;;;AVC;
AVC.HSCJ1000B;Hand Sanitizer PROSHIELD Cair Jerigen 1000ml - Black Rose;;PKD 20501022670;;;;AVC;
AVC.HSCJ1000G;Hand Sanitizer PROSHIELD Cair Jerigen 1000ml - Green Tea;;PKD 20501022670;;;;AVC;
AVC.HSCP500B;Hand Sanitizer PROSHIELD Cair Pump 500ml - Black Rose;;PKD 20501022670;;;;AVC;
AVC.HSCP500G;Hand Sanitizer PROSHIELD Cair Pump 500ml - Green Tea;;PKD 20501022670;;;;AVC;
AVC.HSCS100B;Hand Sanitizer PROSHIELD Cair Spray 100ml - Black Rose;;PKD 20501022670;;;;AVC;
AVC.HSCS100G;Hand Sanitizer PROSHIELD Cair Spray 100ml - Green Tea;;PKD 20501022670;;;;AVC;
AVC.HSCS250B;Hand Sanitizer PROSHIELD Cair Spray 250ml - Black Rose;;PKD 20501022670;;;;AVC;
AVC.HSCS250G;Hand Sanitizer PROSHIELD Cair Spray 250ml - Green Tea;;PKD 20501022670;;;;AVC;
AVC.HSCS60B;Hand Sanitizer PROSHIELD Cair Spray 60ml - Black Rose;;PKD 20501022670;;;;AVC;
AVC.HSCS60G;Hand Sanitizer PROSHIELD Cair Spray 60ml - Green Tea;;PKD 20501022670;;;;AVC;
AVC.HSCS60W;Hand Sanitizer PROSHIELD Cair Spray 60ml - Watery Touch;;PKD 20501022670;;;;AVC;
AVC.HSGF100G;Hand Sanitizer PROSHIELD Gel Fliptop 100ml - Green Tea;;PKD 20501020812;18/04/21;;;AVC;
AVC.HSGF250G;Hand Sanitizer PROSHIELD Gel Fliptop 250ml - Green Tea;;PKD 20501020812;18/04/21;;;AVC;
AVC.HSGF60G;Hand Sanitizer PROSHIELD Gel Fliptop 60ml - Green Tea;;PKD 20501020812;18/04/21;;;AVC;
AVC.HSGF60W;Hand Sanitizer PROSHIELD Gel Fliptop 60ml - Watery Touch;;PKD 20501020812;18/04/21;;;AVC;
AVC.HSGP1000G;Hand Sanitizer PROSHIELD Gel Pump 1000ml - Green Tea;;PKD 20501020812;18/04/21;;;AVC;
AVC.HSGP500G;Hand Sanitizer PROSHIELD Gel Pump 500ml - Green Tea;;PKD 20501020812;18/04/21;;;AVC;
BCP.R3Y;RAINBOW Masker Surgical 3ply 50s;;AKD 21603021398;28/07/25;;;BCP;
BDF.034-14-12010-V;34ltr Calibration Can Filled With 27ltr Gas 100ppm Hydrogen Balance Air;;-;;;;BDF;
BDF.068296-5;Moisture Filter x5 (G200/G210);;FR.03.02/VA/1901/2019;19/11/21;;;BDF;
BDF.110-08-02511-V;Calib Gas (112L / 20ppm) for Pico PADV & Micro MADV;;-;;;;BDF;
BDF.1100804010KV;Calib Kit (110L/50ppm CO);;-;;;;BDF;
BDF.110-08-04010-V;110ltr replacement can. 50ppm Carbon Monoxide balance Air (Micro+);;-;;;;BDF;
BDF.112FFR;Fixed Flow Regulator 112L - SMOKERLYZER;;-;;;;BDF;
BDF.120802511KV;Calib Kit (12L/20ppm CO) ;;-;;;;BDF;
BDF.120802511V;Calib Gas (12L/20ppm CO);;-;;;;BDF;
BDF.120804010KV;Calib Kit (12L/50ppm CO);;-;;;;BDF;
BDF.120804010V;Calib Gas (12L/50ppm CO);;-;;;;BDF;
BDF.121412010KV;Calib Kit (12L/100ppm H);;-;;;;BDF;
BDF.DIS024;Colour Touch Screen for NObreath V2;;-;;;;BDF;
BDF.DIS036;Touch Screen Replacement (Smokerlyzer);Sparepart;-;;;Sparepart;BDF;
BDF.DP12;D Pieces - 12 disposible D-Pieces;Aksesoris;AKL 20401110728;02/09/26;v;Consumable;BDF;
BDF.EC50VTA;Miniflow Valve + Adaptor + Tube;Aksesoris;-;;;Aksesoris;BDF;
BDF.EC60AM;Adult Mask (GAS/TOX);;AKL 20401716277;02/09/26;;;BDF;
BDF.EC60-AM-V;Adult face mask for use with ISSA-BB;;-;;;;BDF;
BDF.EC60IM;Infant Mask (GAS/TOX);;AKL 20401716277;02/09/26;;;BDF;
BDF.EC60-IM-V;Infant face mask for use with ISSA-BB;;-;;;;BDF;
BDF.EC60MM;Medium Mask (GAS/TOX);;AKL 20401716277;02/09/26;;;BDF;
BDF.EC60-MM-V;Medium sized face mask for use with ISSA-BB;;-;;;;BDF;
BDF.G1.10;CO2 Filter x3 (G200);;FR.03.02/VA/1901/2019;19/11/21;;;BDF;AKL Tidak di Perpanjang
BDF.G200/10-data;G200/G210 Software Package;;-;;;;BDF;
BDF.G200P;MEDIGAS N2O Portable Analyzer;;FR.03.02/VA/1901/2019;19/11/21;;;BDF;
BDF.G210CO;MEDIGAS N2O/CO2/O2/CO Portable Analyzer;;FR.03.02/VA/1894/2019;19/11/21;;Unit;BDF;
BDF.G210NCO;Medigas N2O/CO2/O2 Portable Analyzer;;FR.03.02/VA/1894/2019;19/11/21;;;BDF;
BDF.GASK;GASTROLYZER+/250mp/Calib Kit 12L;;AKL 20401716277;02/09/26;;;BDF;
BDF.GASTRO;GASTROLYZER+ (portable breath Hydrogen monitor);;AKL 20401716277;02/09/26;;;BDF;
BDF.GASTRO+PCB;PCB for Gastro+;;-;;;;BDF;
BDF.GASTROCHECK;GastroCH4ECK Methane & Hydrogen Monitor;;-;;;;BDF;
BDF.GASTROCHECK-BAG;Breath Bags and Mouthpieces for GastroCH4ECK (100);;-;;;;BDF;
BDF.GASTROCHECK-BAG-XL;Breath Bags and Mouthpieces for GastroCH4ECK (250);;-;;;;BDF;
BDF.GASTROCHECK-DESS;Moisture Removal Filter for GastroCH4ECK - only required if using breath bags - last for 150 tests or 3 months;;-;;;;BDF;
BDF.GASTROCHECK-MP;Mouthpieces for GastroCH4ECK on-line measurement (100);;-;;;;BDF;
BDF.GASTROCHECK-MP-XL;Mouthpieces for GastroCH4ECK on-line measurement (250);;-;;;;BDF;
BDF.GDAT;Software Packages (G200/G210);;FR.03.02/VA/1901/2019;19/11/21;;;BDF;
BDF.iCO;SMOKERLYZER iCO Personal;Elektromedik Non Radiasi / C;-;;;Unit;BDF;
BDF.ICS073;PCB Replacement (Smokerlyzer);;-;;;;BDF;
BDF.ISSA;Face Mask Sampling System;;AKL 20401716277;02/09/26;;;BDF;
BDF.ISSA-BB;Face mask sampling system for use with GastroCHECK breath bags;;-;;;;BDF;
BDF.M+;SMOKERLYZER Micro+;Elektromedik Non Radiasi / C;AKL 20401110728;02/09/26;v;Unit;BDF;
BDF.MADV;Micro Smokerlyzer/250stb/12DP;Elektromedik Non Radiasi / C;AKL 20401110728;02/09/26;v;Unit;BDF;
BDF.MP20;Mouthpiece FLATPACK (20s);Aksesoris;-;;;Consumable;BDF;
BDF.MP50;Mouthpiece FLATPACK (50s);Aksesoris;-;;;Consumable;BDF;
BDF.NC;New Compact Smokerlyzer;Elektromedik Non Radiasi / C;-;;;Unit;BDF;
BDF.NOB;NOBREATH Inflamometer;Elektromedik Non Radiasi / C;AKL 20401512319;06/12/21;v;Unit;BDF;
BDF.NOBREATH-V2;NObreath V2;;AKL 20103917359;02/09/26;;;BDF;
BDF.NOBREATH-V2-MP50;NObreath V2 Mouthpiece - 50s;;AKL 20103917359;02/09/26;;;BDF;
BDF.NTK100;NOBREATH Mouthpiece x100 + FLOW x2;;-;;;;BDF;
BDF.NTK1000;NOBREATH Mouthpiece x1000 + FLOW x20;;-;;;;BDF;
BDF.NTK350;NOBREATH Mouthpiece x350 + FLOW x7;;-;;;;BDF;
BDF.NTK50;50 Pcs Mouthpiece + 1 NObreath Flow;Aksesoris;AKL 20401512319;06/12/21;v;Consumable;BDF;
BDF.OB250;Onebreath - DP + MP 2in1;;-;;;;BDF;
BDF.P+;SMOKERLYZER Pico+;Elektromedik Non Radiasi / C;AKL 20401110726;02/09/26;v;Unit;BDF;
BDF.PADV;Pico Smokerlyzer/250stb/12DP;Elektromedik Non Radiasi / C;AKL 20401110726;02/09/26;v;Unit;BDF;
BDF.SB20;Mouthpiece STERIBREATH (20s);;-;;;;BDF;
BDF.SB250;Steribreath Mouthpiece 250's;Aksesoris;TU.02.02/5/3515/2017;06/12/21;v;Consumable;BDF;
BDF.SB-ECO;Steribreath Eco Mouthpieces 200's;;AKL 20401110728;;;;BDF;
BDF.SEN045;CO Sensor for Smokerlyzer (Old Model);Sparepart;-;;;Sparepart;BDF;
BDF.SEN064;CO Sensor for Smokerlyzer;;-;;;;BDF;
BIM.120101;2507 ExocervicaL Large;;AKL 21603817956;22/06/24;;;BIM;
BIM.120102;1920 Exo-Endocervical Long;;AKL 21603817956;22/06/24;;;BIM;
BIM.120103;1910 Exo-Endocervical;;AKL 21603817956;22/06/24;;;BIM;
BIM.120104;1905 Exocervical;;AKL 21603817956;22/06/24;;;BIM;
BIM.120105;0519 Condyloma;;AKL 21603817956;22/06/24;;;BIM;
BIM.120106;0219 Microderm;;AKL 21603817956;22/06/24;;;BIM;
BIM.120107;0419 Flat;;AKL 21603817956;22/06/24;;;BIM;
BIM.120108;0619 Cone;;AKL 21603817956;22/06/24;;;BIM;Aktif
BIM.120109;1038 Cone;;AKL 21603817956;22/06/24;;;BIM;
BIM.120110;1038 General Purpose;;AKL 21603817956;22/06/24;;;BIM;
BIM.120112;2004 General Purpose;;AKL 21603817956;22/06/24;;;BIM;
BIM.120113;2504 General Purpose;;AKL 21603817956;22/06/24;;;BIM;
BIM.120114;2514 Exo-Endocervical Jumbo;;AKL 21603817956;22/06/24;;;BIM;
BIM.120115;2526 Exo-Endocervical Jumbo;;AKL 21603817956;22/06/24;;;BIM;
BIM.120116;3010 Exocervical XL;;AKL 21603817956;22/06/24;;;BIM;
BIM.120117;3015 Exocervical XL;;AKL 21603817956;22/06/24;;;BIM;
BIM.120118;Probe Tip Protector;;AKL 21603817956;22/06/24;;;BIM;
BIM.120120;Tabung Gas CO2 ( 10kg );Aksesoris;-;;v;Consumable;BIM;
BIM.MC120;Cryo Surgical Unit ( Gynecology ) MC-120;Non - Elektromedik;AKL 21603817956;22/06/24;v;Unit;BIM;
BIM.MC120A;Cryo Surgical Unit ( Gynecology ) MC120 + Cart;;AKL 21603817956;22/06/24;;;BIM;
BUM.SZM 001 BC;Sizimeka Bedside Cabinet BC;;FR.03.02/VA/14354/2021;08/11/23;;;BUM;
BUM.SZM 001 TL EKG SS;Sizimeka Trolley EKG;;-;;;;BUM;
BUM.SZM 003 ET ASS;Sizimeka Emergancy Trolley;;-;;;;BUM;
BUM.SZM 006 BC 1;Sizimeka SZM 006 BC 1;;-;;;;BUM;
BUM.SZM 007 BC 2;Sizimeka Bedside Cabinet BC 2;;FR.03.02/VA/14354/2021;08/11/23;;;BUM;
BUM.SZM 008 LC 3;Sizimeka Medicine Cabinet LC 3;;-;;;;BUM;
BUM.SZM 016 PB SS;Sizimeka Parallel Bar;;-;;;;BUM;
BUM.SZM 02 SZ Manual;Sizimeka Scrub Station / SINK;;-;;;;BUM;
BUM.SZM 026 OT 1;Sizimeka Oxygen Trolley 1;;-;;;;BUM;
BUM.SZM 026 OT 6;Sizimeka Oxygen Trolley 6;;-;;;;BUM;
BUM.SZM 029 LHC 3 SS;Sizimeka Linen Trolley 3 SS;;-;;;;BUM;
BUM.SZM 029 TL 2;Sizimeka Linen Trolley Kotor;;-;;;;BUM;
BUM.SZM 035 FS ST;Sizimeka Foot Step ST;;FR.03.02/VA/02342/2022;22/02/24;;;BUM;
BUM.SZM BED 3 EL KK;Sizimeka Electric Bed 3 Funtion;;-;;;;BUM;
BUM.SZM LN P4 PC;Sizimeka Lemari Narkotika P4;;FR.03.02/VA/00756/2022;25/01/24;;;BUM;
BUM.SZM MTS 01 F;Sizimeka Matras Bed;;-;;;;BUM;
BUM.SZM001.ABS1E;Sizimeka Patient Bed 1 Crank;Non - Alkes;AKD 10902910331;13/05/24;v;Unit;BUM;
BUM.SZM002;Sizimeka Ambulance Stretcher;;-;;;;BUM;
BUM.SZM002.ABS2E;Sizimeka Patient Bed 2 Crank;Non - Alkes;AKD 10902910454;03/07/24;v;Unit;BUM;
BUM.SZM003.ABS3E;Sizimeka Patient Bed 3 Crank;Non - Alkes;AKD 10902910373;27/05/24;v;Unit;BUM;
BUM.SZM009 DCSS;Sizimeka Infusion Stand SS 02;;-;;;;BUM;
BUM.SZMBCT.IDR1;BCT Sizimeka Model IDR1 (Wastafel Portable);;FR.03.02/VA/8506/2020;25/08/22;;;BUM;
CRY.AA0020000;Cryoscreen;Non - Elektromedik;AKL 21603126725;15/10/24;v;Unit ;CRY;
CRY.AA0090030;Empty Cylinder CO2 B1;;-;;;;CRY;
CRY.AC0400006;Trigger Rubber Cryoscreen;;-;;;;CRY;
CRY.AC0400020;Trigger board Cryoscreen;;-;;;;CRY;
CRY.AE024;Cart for CryoScreen;;AKL 21603126725;15/10/24;;;CRY;
CRY.CART+;Cart for Cryo+;;-;;;;CRY;
CRY.CR+;Cryo+ Cryotherapy Stationary;;-;;;;CRY;
CRY.CR+CART;CRYO+ w/ Cart;;AKL 21603022212;15/10/24;;;CRY;
CRY.CRDUO;Duo Cryo;;-;;;;CRY;
CRY.CRONE2;CRYO ONE -2;;AKL 21603022212;15/10/24;;;CRY;
CW.1103L;EKG 3 Channel 1103L Carewell;Elektromedik Non - Radiasi;AKL 20502121276;10/12/22;v;Unit;CW;AKL Tidak Diperpanjang
CW.1103LW;CAREWELL ECG 3 Channel (1103LW);Elektromedik Non - Radiasi;AKL 20502121276;10/12/22;;Unit;CW;
CW.1106L;EKG 6 Channel 1106L Carewell;Elektromedik Non - Radiasi;AKL 20502121711;10/12/22;v;Unit;CW;AKL Tidak Diperpanjang
CW.1112L;EKG 12 Channel 1112L Carewell;Elektromedik Non - Radiasi;AKL 20502121784;10/12/22;v;Unit;CW;AKL Tidak Diperpanjang
CW.1112M;EKG 12 Channel 1112M Carewell;Elektromedik Non - Radiasi;AKL 20502121623;10/12/22;v;Unit;CW;AKL Tidak Diperpanjang
CW.23300038;LCD screen (1112M);;AKL 20502121623;10/12/22;;;CW;
CW.23300080;Touch screen (1112M);;AKL 20502121623;10/12/22;;;CW;
CW.23340216;Built-in Lithium Battery (2200mAH) for Patient Monitor M10;Aksesoris;-;;;Aksesoris;CW;
CW.24.256;Paper ORI MEDI ECG 6 Channel Paper (112x30);Aksesoris;-;;;Consumable;CW;
CW.24.273;CAREWELL Bulb / Chest Electrode Adult (6 pcs/set);Aksesoris;-;;;Aksesoris;CW;
CW.24.274;CAREWELL Bulb/ Chest Electrode Pediatric (6pcs/set);Aksesoris;-;;;Aksesoris;CW;
CW.24.282;CAREWELL Limb Electrode Adult (4pcs/set);Aksesoris;-;;;Aksesoris;CW;
CW.24.283;CAREWELL Limb Electrode Pediatric (4pcs/set);Aksesoris;-;;;Aksesoris;CW;
CW.24.319;CAREWELL Patient Cable 4mm;;AKL 20502121623;10/12/22;;;CW;
CW.24300260;Recording Paper 216mm x 20m - CAREWELL;Aksesoris;AKL 20502121623;10/12/22;v;Consumable;CW;
CW.24300320;Patient Cable for ECG;Aksesoris;AKL 20502121623;10/12/22;v;Aksesoris;CW;
CW.26300002;Printer Cover With Gear;;-;;;;CW;
CW.27300085;Main Control Board for 1112M;;-;;;;CW;
CW.27300090;Main control board (1103L - 1106L);;-;;;;CW;
CW.31090012;CAREWELL Universal Electrode Adaptor (10pcs/set);Aksesoris;-;;;Aksesoris;CW;
CW.ECG-S120;Nubion NeoECG S120;;AKL 20502220345;08/05/25;;;CW;
CW.IP200C;CAREWELL Infusion Pump CIP-200C (Neutral Version );Aksesoris;-;;;Aksesoris;CW;
CW.M10;CAREWELL Patient Monitor - M10 Lite ;Elektromedik Non - Radiasi;AKL 20502717397;31/12/20;v;Unit;CW;
CW.M20;CAREWELL Patient Monitor - M20 Optimal ;Elektromedik Non - Radiasi;AKL 20502717961;31/12/20;v;Unit;CW;
CW.SIM;ECG Simulator;Aksesoris;-;;;Aksesoris;CW;
CW.T12;CAREWELL ECG 12 Channel (T12);Elektromedik Non - Radiasi;AKL 20502812069;31/12/20;v;Unit;CW;
DJO.0.0034.320;Control Hand SHLDR For Optiflex;;-;;;;DJO;
DJO.1002;Hotpac 61cm long Neck Contour;;-;;;Unit;DJO;
DJO.1004;Hotpac 38x61cm Oversize;;-;;;Unit;DJO;
DJO.1006;Hotpac 25x30cm Standard;;-;;;Unit;DJO;
DJO.1008;Hotpac 25x46cm;;-;;;Unit;DJO;
DJO.1010;Hotpac 25x61cm;;-;;;Unit;DJO;
DJO.1012;Hotpac 25x50cm Knee/Shoulder;;-;;;Unit;DJO;
DJO.1014;Hotpac 13x30cm Half size;;-;;;Unit;DJO;
DJO.10648;Nylatex Wrap 6x60cm (x1);Aksesoris;AKL 21403718496;01/02/27;v;Consumable;DJO;
DJO.1102;"TERRY COVER Foam-Filled Standard Size 48 cm x 69 cm (19"" x 27"")";;-;;;;DJO;
DJO.1104;Terry Cover Neck Contour 64x46 cm;;-;;;;DJO;
DJO.1108;"TERRY COVER Foam-Filled Pocket Standard 43 cm x 69 cm (17"" x 27"")";;-;;;;DJO;
DJO.1110;"TERRY COVER Foam-Filled Pocket Oversize Pocket 61 cm x 91 cm (24"" x 36"")";;-;;;;DJO;
DJO.1118;Terry Cover Standard 48x69 cm;;-;;;;DJO;
DJO.1120;"TERRY COVER Foam-Filled Neck Contour 64 cm x 41 cm (25"" x 16"")";;-;;;;DJO;
DJO.1124;"TERRY COVER Foam-Filled Oversize 61 cm x 91 cm (24"" x 36"")";;-;;;;DJO;
DJO.1126;Terry Cover Oversize 61x91 cm;;-;;;;DJO;
DJO.1131;Terry Cover Hand Contour 28x36 cm;;-;;;;DJO;
DJO.1132;Terry Cover Hand Contour Dual Pocket 58x36 cm;;-;;;;DJO;
DJO.1136;Wpro Chatt Remote Full;;-;;;;DJO;
DJO.114.610EXP;Vaginal Probe Saint Cloud Plus w/ 2x2mm pin connectors;Aksesoris;AKL 21403810015;13/02/22;v;Unit;DJO;
DJO.1202;Nylatex Wrap 6x46cm (x3);Aksesoris;-;;;Consumable;DJO;
DJO.1204;Nylatex Wrap 6x91cm (x3);Aksesoris;-;;;Consumable;DJO;
DJO.1206;Nylatex Wrap 6x122cm (x3);Aksesoris;-;;;Consumable;DJO;
DJO.1208;Nylatex Wrap 10x46 cm (x3);;-;;;;DJO;
DJO.1210;Nylatex Wrap 10x91cm (x3);Aksesoris;-;;;Consumable;DJO;
DJO.1212;Nylatex Wrap 10x122cm x3;;-;;;;DJO;
DJO.1213;Nylatex Wrap 10x152 cm (x3);;-;;;;DJO;
DJO.1214;Nylatex Wrap 15x46 cm (x3);;-;;;;DJO;
DJO.1216;Nylatex Wrap 15x91 cm (x3);;-;;;;DJO;
DJO.1218;Nylatex Wrap 15x122 cm (x3);;-;;;;DJO;
DJO.1219;Nylatex Wrap 15x152 cm (x3);;-;;;;DJO;
DJO.1264;Nylatex Wrap 6x61 cm (x3);;-;;;;DJO;
DJO.12-6777-SP;Service Part Button Wheel Sub Assy;;-;;;;DJO;
DJO.12-6791;Display LCD Assy NEO;Sparepart;-;;;Sparepart;DJO;
DJO.13-22684;Control PCB MRPW GN2-22685;;-;;;;DJO;
DJO.13-26497;Focus Shockwave Service Kit Atromot Active-K;;-;;;;DJO;
DJO.13-3822;DISPLAY WITH TOUCH SCREEN;Sparepart;-;;;Aksesoris;DJO;
DJO.13651;SWITCH PATIENT LASER STOP;Aksesoris;-;;;Aksesoris;DJO;
DJO.13-8082;VITALSTIM Plus Reference EMG Electrode;Aksesoris;AKL 21403718519;01/02/27;v;Aksesoris;DJO;
DJO.13-8083;VITALSTIM Plus Reference EMG Lead Wire;Aksesoris;AKL 21403718519;01/02/27;v;Aksesoris;DJO;
DJO.13-8336;Board Main Mobile RPW;;AKL 21401810996;13/02/22;;;DJO;AKL Tidak di Perpanjang
DJO.13-8347;RPW Compressor 1st Gen;;-;;;;DJO;
DJO.13-8353;Top Cover (Mobile RPW);;-;;;;DJO;
DJO.1410;QuickWrap Deluxe Universal Belt System;Non - Alkes ;-;;;Unit;DJO;
DJO.14-1086;Intelect Mobile 2 Battery;;AKL 21403220300;01/02/27;;;DJO;
DJO.14612;PCB DIATHERMY CONTROL/DISPLAY;Sparepart;-;;;Sparepart;DJO;
DJO.14614;PCB DIATHERMY POWER SUPPLY;Aksesoris;-;;;Aksesoris;DJO;
DJO.14626;SWDU Arm Rotation Flat Cap;;-;;;;DJO;
DJO.14631;Gasket SWD Armjoint;;-;;;;DJO;
DJO.14632;Washer Belleville 60mm O.D;;-;;;;DJO;
DJO.14636;Face Plate for SWD100;;-;;;;DJO;
DJO.14637;SWDU SCREEN HOUSING;Sparepart;-;;;Aksesoris;DJO;
DJO.14638;Control Interface;;-;;;;DJO;
DJO.14641;SWDU Module Blank;Sparepart;-;;;Aksesoris;DJO;
DJO.14642;SWDU Shoulder Molding;;-;;;;DJO;
DJO.14660;Handle Overmold Diathermy;;-;;;;DJO;
DJO.14685;SWDU Small Knob W/ Overmold;;-;;;;DJO;
DJO.14689;POWER SUPPLY 350W DZ-B-309;Aksesoris;-;;;Aksesoris;DJO;
DJO.14698;SWDU Large Knob w/Overmold;;-;;;;DJO;
DJO.14712;Connection cable;Sparepart;-;;;Aksesoris;DJO;
DJO.14769;Fan For SWD100;;-;;;;DJO;
DJO.14770;Fan Blower W/Harness Diathermy;;-;;;;DJO;
DJO.14774;Directional Coupler PCB + Ribbon Cable;Sparepart;-;;;Aksesoris;DJO;
DJO.14780;PCB ASSY DIATHERMY 100W RF GEN;Sparepart;-;;;Aksesoris;DJO;
DJO.14790;Electrode Arm Left (x1) - SWD 100;Sparepart;-;;;Aksesoris;DJO;
DJO.14791;Electrode Arm Right (x1) - SWD 100;Sparepart;-;;;Aksesoris;DJO;
